개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,1,인증 및 접근,로그인,메인로그인,로그인 메인 페이지,앱 실행 시 첫 화면,앱 실행 → 로그인/회원가입 선택,인증 시스템,모달/전체화면,비로그인,런치 페이지
1차,1,인증 및 접근,로그인,통합로그인,통합 로그인,이메일 또는 전화번호/비밀번호 로그인,로그인 메인 → 이메일/전화번호 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능
1차,1,인증 및 접근,로그인,소셜로그인,카카오 로그인,카카오 API 연동 로그인,로그인 메인 → 카카오 버튼 → 카카오 앱 연동,소셜 계정,API 연동,로그인 중,카카오 개발자 계정 필요
1차,1,인증 및 접근,시설운영자 회원가입,1단계 기본정보,운영자 기본정보 입력,이름 기업이메일 기업전화번호 입력 및 인증,회원가입 → 시설운영자 선택 → 1단계 기본정보 입력,운영자 정보,폼 입력,가입 진행 중,기본 정보 입력
1차,1,인증 및 접근,시설운영자 회원가입,1단계 기본정보,기업 이메일 입력,기업 이메일 주소 입력,기본정보 → 기업 이메일 입력,이메일 정보,폼 입력,가입 진행 중,이메일 형식 검증
1차,1,인증 및 접근,시설운영자 회원가입,1단계 기본정보,기업 전화번호 인증,기업 전화번호 입력 및 SMS 인증,이메일 입력 → 전화번호 입력 → 인증 요청 → 인증번호 확인,전화번호 정보,폼 입력,인증 진행 중,SMS 인증 필수
1차,1,인증 및 접근,시설운영자 회원가입,2단계 비밀번호,비밀번호 설정,비밀번호 입력 및 확인,1단계 완료 → 비밀번호 설정 → 비밀번호 확인,비밀번호 정보,폼 입력,가입 진행 중,비밀번호 정책 적용
1차,1,인증 및 접근,시설운영자 회원가입,3단계 약관동의,약관 전체동의,서비스 이용약관 개인정보처리방침 위치기반서비스 마케팅동의,비밀번호 설정 → 약관동의 → 전체동의/개별동의,약관 정보,체크박스,가입 진행 중,필수 약관 동의 필수
1차,1,인증 및 접근,시설운영자 회원가입,3단계 약관동의,서비스 이용약관,서비스 이용약관 상세 내용 확인,약관동의 → 서비스 이용약관 → 상세 내용 확인,약관 상세,팝업 표시,약관 확인 중,필수 약관
1차,1,인증 및 접근,시설운영자 회원가입,3단계 약관동의,개인정보처리방침,개인정보처리방침 상세 내용 확인,약관동의 → 개인정보처리방침 → 상세 내용 확인,개인정보 정책,팝업 표시,약관 확인 중,필수 약관
1차,1,인증 및 접근,시설운영자 회원가입,3단계 약관동의,위치기반서비스 이용약관,위치기반서비스 이용약관 상세 내용 확인,약관동의 → 위치기반서비스 → 상세 내용 확인,위치 서비스 정책,팝업 표시,약관 확인 중,필수 약관
1차,1,인증 및 접근,시설운영자 회원가입,3단계 약관동의,마케팅 정보 수신 동의,마케팅 정보 수신 동의 선택,약관동의 → 마케팅 동의 → 선택/미선택,마케팅 정책,체크박스,가입 진행 중,선택 약관
1차,1,인증 및 접근,시설운영자 회원가입,4단계 시설기본정보,시설 기본정보 입력,대표지점 사업자번호 주소 시설명 입력,약관동의 → 시설 기본정보 → 정보 입력,시설 기본 정보,폼 입력,가입 진행 중,사업자번호 10자리 검증
1차,1,인증 및 접근,시설운영자 회원가입,4단계 시설기본정보,우편번호 찾기,우편번호 검색 및 주소 입력,시설 기본정보 → 우편번호 찾기 → 주소 검색,주소 정보,API 연동,가입 진행 중,우편번호 API 연동
1차,1,인증 및 접근,시설운영자 회원가입,4단계 시설기본정보,시설 운영 종목,시설에서 운영하는 운동 종목 입력,시설 기본정보 → 운영 종목 → 종목 선택,운영 종목,텍스트 입력,가입 진행 중,운동 종목 선택
1차,1,인증 및 접근,시설운영자 회원가입,4단계 시설기본정보,시설 등록 안내,시설 등록 유료 전환 안내 팝업,시설 기본정보 입력 중 → 안내 팝업 → 확인,안내 정보,팝업 표시,안내 확인 중,유료 전환 안내
1차,1,인증 및 접근,시설운영자 회원가입,5단계 운영시간설정,요일별 운영시간 설정,평일 토요일 일요일별 운영시간 설정,시설 기본정보 → 운영시간 설정 → 요일별 시간 입력,운영시간 정보,폼 입력,가입 진행 중,요일별 시간 설정
1차,1,인증 및 접근,시설운영자 회원가입,5단계 운영시간설정,운영/휴무 선택,각 요일별 운영/휴무 선택,운영시간 설정 → 요일별 → 운영/휴무 선택,운영 상태,라디오 버튼,가입 진행 중,운영 상태 관리
1차,1,인증 및 접근,시설운영자 회원가입,5단계 운영시간설정,휴관일 정보,휴관일 및 특별 운영일 정보 입력,운영시간 설정 → 휴관일 정보 → 정보 입력,휴관일 정보,텍스트 입력,가입 진행 중,휴관일 관리
1차,1,인증 및 접근,시설운영자 회원가입,5단계 운영시간설정,기타 운영 정보,기타 운영 관련 정보 입력,운영시간 설정 → 기타 정보 → 정보 입력,운영 정보,텍스트 입력,가입 진행 중,운영 정보 관리
1차,1,인증 및 접근,시설운영자 회원가입,5단계 운영시간설정,시설 운영 정보,시설 운영 관련 상세 정보 입력,운영시간 설정 → 시설 운영 정보 → 정보 입력,시설 운영 정보,텍스트 입력,가입 진행 중,시설 운영 정보
1차,1,인증 및 접근,시설운영자 회원가입,6단계 요금결제정보,요금 정보 설정,시설 이용 요금 정보 입력,운영시간 설정 → 요금 정보 → 요금 정보 입력,요금 정보,텍스트 입력,가입 진행 중,요금 정보 관리
1차,1,인증 및 접근,시설운영자 회원가입,6단계 요금결제정보,결제 수단 선택,계좌이체 카드 무통장입금 선택,요금 정보 → 결제 수단 → 결제 방법 선택,결제 수단,체크박스,가입 진행 중,결제 수단 관리
1차,1,인증 및 접근,시설운영자 회원가입,6단계 요금결제정보,정산 계좌 정보,은행 계좌번호 예금주 정보 입력,결제 수단 → 정산 계좌 → 계좌 정보 입력,정산 계좌,폼 입력,가입 진행 중,정산 계좌 관리
1차,1,인증 및 접근,시설운영자 회원가입,6단계 요금결제정보,은행 선택,정산 계좌 은행 선택,정산 계좌 → 은행 선택 → 은행 목록에서 선택,은행 정보,드롭다운,가입 진행 중,은행 선택
1차,1,인증 및 접근,시설운영자 회원가입,7단계 증빙서류,사업자등록증 업로드,사업자등록증 파일 업로드,요금 정보 → 증빙서류 → 사업자등록증 업로드,증빙 서류,파일 업로드,가입 진행 중,필수 서류
1차,1,인증 및 접근,시설운영자 회원가입,7단계 증빙서류,시설 사진 업로드,시설 사진 다중 업로드,사업자등록증 → 시설 사진 → 사진 업로드,시설 이미지,파일 업로드,가입 진행 중,시설 사진 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 등록 선택,지도자 등록 여부 선택,증빙서류 → 지도자 등록 → 등록 여부 선택,지도자 등록,선택 입력,가입 진행 중,지도자 등록 선택
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 목록 조회,등록된 지도자 목록 확인,지도자 등록 → 지도자 목록 → 목록 조회,지도자 목록,리스트 표시,가입 진행 중,지도자 목록 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 추가,새 지도자 추가 버튼,지도자 목록 → 지도자 추가 → 새 지도자 등록,지도자 정보,버튼 클릭,가입 진행 중,지도자 추가 기능
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 포트폴리오 작성,지도자 상세 정보 입력,지도자 추가 → 포트폴리오 작성 → 상세 정보 입력,지도자 포트폴리오,폼 입력,가입 진행 중,지도자 상세 정보
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 프로필 이미지,지도자 프로필 사진 업로드,포트폴리오 작성 → 프로필 이미지 → 사진 업로드,프로필 이미지,파일 업로드,가입 진행 중,프로필 사진 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 기본정보,지도자 이름 한줄소개 전문종목 입력,포트폴리오 작성 → 기본정보 → 정보 입력,지도자 기본정보,폼 입력,가입 진행 중,지도자 기본 정보
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 활동사진,지도자 활동 사진 업로드,기본정보 → 활동사진 → 사진 업로드,활동 사진,파일 업로드,가입 진행 중,활동 사진 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 SNS계정,지도자 SNS 계정 정보 입력,활동사진 → SNS계정 → 계정 정보 입력,SNS 계정,폼 입력,가입 진행 중,SNS 계정 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 서비스정보,지도자 서비스 요금 정보 입력,SNS계정 → 서비스정보 → 요금 정보 입력,서비스 정보,폼 입력,가입 진행 중,서비스 요금 관리
1차,1,인증 및 접근,시설운영자 회원가입,8단계 지도자등록,지도자 등록 건너뛰기,지도자 등록 건너뛰기 선택,지도자 등록 → 건너뛰기 → 다음 단계,지도자 등록,선택 입력,가입 진행 중,지도자 등록 선택사항
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,신청 제출,모든 정보 입력 후 신청 제출,지도자 등록 → 신청 제출 → 최종 확인,신청 정보,폼 제출,신청 제출 중,최종 제출
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,신청 확인,입력 정보 최종 확인 및 제출,신청 제출 → 정보 확인 → 등록 완료,신청 확인,팝업 표시,확인 중,최종 확인
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,등록 완료,시설 등록 접수 완료 및 승인 대기,신청 확인 → 등록 완료 → 승인 대기,등록 완료,완료 화면,등록 완료,승인 대기 안내
