개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,1,인증 및 접근,로그인,메인로그인,로그인 메인 페이지,앱 실행 시 첫 화면,앱 실행 → 로그인/회원가입 선택,인증 시스템,모달/전체화면,비로그인,런치 페이지
1차,1,인증 및 접근,로그인,통합로그인,통합 로그인,이메일 또는 전화번호/비밀번호 로그인,로그인 메인 → 이메일/전화번호 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능
1차,1,인증 및 접근,로그인,소셜로그인,카카오 로그인,카카오 API 연동 로그인,로그인 메인 → 카카오 버튼 → 카카오 앱 연동,소셜 계정,API 연동,로그인 중,카카오 개발자 계정 필요
1차,1,인증 및 접근,로그인,비밀번호관리,비밀번호 변경,현재 비밀번호 확인 후 변경,마이페이지 → 설정 → 비밀번호 변경,계정 보안,폼 입력,변경 중,보안 기능
1차,1,인증 및 접근,로그인,비밀번호관리,비밀번호 찾기,이름 + 전화번호로 비밀번호 재설정,로그인 메인 → 비밀번호 찾기 → 이름 입력 → 전화번호 인증 → 재설정,계정 복구,폼 입력,재설정 중,이름 + 전화번호 인증
1차,1,인증 및 접근,회원가입,기본정보,사용자 타입 선택,일반 사용자/지도자/시설운영자 선택,회원가입 시작 → 사용자 타입 선택,사용자 프로필,선택 입력,가입 진행 중,기본 기능
1차,1,인증 및 접근,회원가입,기본정보,이름 입력,사용자 이름 입력,사용자 타입 선택 → 이름 입력,사용자 프로필,폼 입력,가입 진행 중,기본 기능
1차,1,인증 및 접근,회원가입,기본정보,이메일/전화번호 입력,이메일 및 전화번호 입력 및 인증,이름 입력 → 이메일/전화번호 입력 → 인증번호 확인,계정 정보,폼 입력,가입 진행 중,이메일 중복확인 전화번호 인증
1차,1,인증 및 접근,회원가입,기본정보,비밀번호 설정,비밀번호 설정 및 확인,이메일/전화번호 인증 → 비밀번호 설정,계정 보안,폼 입력,가입 진행 중,보안 정책 적용
1차,1,인증 및 접근,회원가입,기본정보,약관동의,서비스 이용약관 개인정보처리방침 동의,비밀번호 설정 → 약관동의,약관 정보,체크박스 입력,가입 진행 중,법적 요구사항
1차,1,인증 및 접근,회원가입,기본정보,사용자 설정,닉네임 생년월일 성별 거주지역 설정,약관동의 → 사용자 설정,사용자 프로필,폼 입력,가입 진행 중,개인화 설정
1차,1,인증 및 접근,회원가입,가입완료,가입 완료 페이지,회원가입 완료 및 환영 메시지,사용자 설정 완료 → 가입완료,완료 상태,확인 화면,가입 완료,완료 페이지
1차,2,메인 화면,홈 탭,위치 기반,현재 위치 표시,사용자의 현재 GPS 위치 기반으로 주소 노출 및 변경 가능,메인 화면 → GPS 자동 인식 → 현재 위치 표시 / 위치 변경 버튼 선택,위치 정보,GPS/지도,로그인 중,위치 권한 필요
1차,2,메인 화면,홈 탭,권한 요청,권한 요청 팝업,앱 사용을 위한 필수 권한 요청,앱 실행 → 권한 요청 팝업 → 권한 허용/거부 선택,권한 정보,팝업 표시,앱 실행 시,필수/선택 권한 구분
1차,2,메인 화면,홈 탭,위치 선택,위치 선택 화면,사용자가 수동으로 위치 변경,현재 위치 → 위치 선택 → 시/도 구/군 선택,위치 정보,선택 입력,로그인 중,2단계 선택
1차,2,메인 화면,홈 탭,탭 전환,시설/지도자 탭,시설과 지도자 탭 간 전환,홈 화면 → 시설/지도자 탭 선택 → 해당 콘텐츠 표시,탭 정보,탭 클릭,로그인 중,탭 전환 기능
1차,2,메인 화면,홈 탭,운동 분야,운동 분야 아이콘 그리드,8가지 운동 분야를 아이콘 그리드로 표시,홈 화면 → 운동 분야 아이콘 선택 → 해당 분야 시설 목록 이동,카테고리,아이콘 클릭,로그인 중,8개 카테고리
1차,2,메인 화면,홈 탭,검색,시설 검색창,사용자가 시설명 종목명 키워드로 검색할 수 있는 입력창,메인 화면 → 검색창 선택 → 키워드 입력 → 시설 검색 결과 페이지 이동,시설 데이터,텍스트 입력,로그인 중,자동완성 추천검색 지원
1차,2,메인 화면,홈 탭,근처 인기 시설,근처 인기 시설,현재 위치 기반 인기 시설 추천,홈 탭 → 근처 인기 시설 목록 → 시설 선택,시설 데이터,카드 클릭,로그인 중,인기 시설 추천
1차,2,메인 화면,시설 리스트,구기 종목,구기 종목 선택 화면,구기 종목 버튼 클릭 시 하위 세부 종목 리스트(축구 농구 야구 등)를 보여주는 화면,홈 탭 → 구기 종목 버튼 선택 → 세부 종목 리스트(축구 농구 야구 등) 노출,카테고리,버튼 입력,로그인 중,세부 종목별 필터 연동
1차,2,메인 화면,시설 리스트,구기 종목 리스트,시설 리스트 화면,구기 종목에 해당하는 전체 시설 리스트(예: 축구장 농구장 등) 위치 기반으로 정렬,구기 종목 선택 → 관련 시설 리스트 자동 출력(거리순/평점순/즐겨찾기순 정렬 지원),시설 데이터,스크롤 리스트,로그인 중,지도/리스트 전환 가능
1차,2,메인 화면,시설 리스트,필터링,축구 시설 필터링,상단 필터 영역에서 '축구'를 선택하면 축구장만 필터링하여 리스트 및 지도에 표시,구기 종목 리스트 화면 → 상단 필터에서 축구 선택 → 리스트/지도에 축구 관련 시설만 출력,시설 데이터,필터 버튼,로그인 중,다중 필터 적용 가능
1차,2,메인 화면,시설 상세,축구장 상세,축구장 상세 페이지,선택된 시설의 상세 정보(주소 운영시간 및 정보 요금 리뷰 즐겨찾기 등) 제공,시설 리스트/지도 → 특정 시설 클릭 → 상세 페이지 이동,시설 상세 데이터,카드 클릭,로그인 중,상세 정보 제공
1차,2,메인 화면,시설 상세,시설정보 탭,시설 기본정보,시설의 기본 정보 및 운영시간 표시,시설 상세 → 시설정보 탭 → 기본정보 확인,시설 정보,화면 표시,로그인 중,기본 정보 표시
1차,2,메인 화면,시설 상세,지도자 탭,지도자 목록,해당 시설의 지도자 목록 표시,시설 상세 → 지도자 탭 → 지도자 목록,지도자 데이터,리스트 표시,로그인 중,1차 개발 조회만
1차,2,메인 화면,시설 상세,예약 탭,예약 화면,예약 가능 시간대 표시 및 외부 홈페이지 연동,시설 상세 → 예약 탭 → 예약 화면 → 외부 홈페이지 이동,예약 데이터,외부 링크,로그인 중,2차 개발 예정
1차,2,메인 화면,시설 상세,후기 탭,후기 목록,시설에 대한 사용자 리뷰 목록,시설 상세 → 후기 탭 → 후기 목록,리뷰 데이터,리스트 표시,로그인 중,후기 조회
1차,2,메인 화면,시설 상세,요금 탭,요금 정보,시설 이용 요금 및 결제 정보,시설 상세 → 요금 탭 → 요금 정보,요금 데이터,화면 표시,로그인 중,요금 정보 표시
1차,2,메인 화면,지도 탭,지도 뷰,지도 표시,현재 위치 중심의 지도에 시설 마커 표시,지도 탭 → 지도 표시 → 시설 마커 확인,지도 데이터,지도 표시,로그인 중,마커 구분 표시
1차,2,메인 화면,지도 탭,종목 필터,종목 필터링,지도에서 특정 종목의 시설만 필터링하여 표시,지도 탭 → 종목 필터 선택 → 해당 종목 시설만 표시,시설 데이터,필터 버튼,로그인 중,다중 선택 가능
1차,2,메인 화면,지도 탭,시설 카드,시설 카드 표시,지도 하단에 시설 정보를 카드 형태로 표시,지도 표시 → 시설 카드 확인 → 시설 상세 이동,시설 데이터,카드 클릭,로그인 중,스크롤 가능
1차,2,메인 화면,찜 탭,찜 목록,찜한 시설 목록,즐겨찾기한 시설들의 목록,찜 탭 → 찜한 시설 목록,즐겨찾기 데이터,리스트 표시,로그인 중,2차 개발 예정
1차,2,메인 화면,지도 탭,지도 뷰,지도 기반 시설 탐색,현재 위치 중심 반경 내 시설 위치를 지도에 마커로 표시,지도 탭 → 현재 위치 기준 반경 내 시설 마커 표시 → 클릭 시 상세 페이지,위치 정보,지도/터치,로그인 중,Kakao/네이버 지도 API
1차,3,커뮤니티 탭,게시판,게시글 목록,게시글 목록 화면,모두의 핏 커뮤니티 게시글 목록,커뮤니티 탭 → 게시글 목록,게시글 데이터,리스트 표시,게시글 조회 중,게시판 기능
1차,3,커뮤니티 탭,게시판,게시글 작성,게시글 작성 화면,새로운 게시글 작성,게시글 목록 → 글쓰기 버튼 → 게시글 작성,게시글 데이터,폼 입력,게시글 작성 중,글쓰기 기능
1차,3,커뮤니티 탭,게시판,게시글 상세,게시글 상세 화면,게시글 상세 내용 및 댓글,게시글 목록 → 게시글 선택 → 상세 화면,게시글 상세,화면 표시,게시글 조회 중,상세 조회 기능
1차,3,커뮤니티 탭,댓글,댓글 작성,댓글 작성 폼,게시글에 댓글 작성,게시글 상세 → 댓글 입력 → 댓글 등록,댓글 데이터,텍스트 입력,댓글 작성 중,댓글 기능
1차,3,커뮤니티 탭,댓글,댓글 수정,댓글 수정 폼,기존 댓글 수정,게시글 상세 → 댓글 수정 → 댓글 변경,댓글 데이터,텍스트 입력,댓글 수정 중,댓글 수정 기능
1차,3,커뮤니티 탭,댓글,댓글 삭제,댓글 삭제 확인,댓글 삭제,게시글 상세 → 댓글 삭제 → 삭제 확인,댓글 데이터,삭제 확인,댓글 삭제 중,댓글 삭제 기능
1차,3,커뮤니티 탭,공감,공감 누르기,공감 버튼,게시글 또는 댓글에 공감,게시글/댓글 → 공감 버튼 클릭 → 공감 등록,공감 데이터,버튼 클릭,공감 처리 중,공감 기능
1차,3,커뮤니티 탭,공감,공감 취소,공감 취소,공감 취소,게시글/댓글 → 공감 버튼 재클릭 → 공감 취소,공감 데이터,버튼 클릭,공감 취소 중,공감 취소 기능
