섹션,기능,필드,유효성 규칙,조건(when),오류코드,검증 위치,비고
시설관리(관리자),시설 추가,name,"필수, 2~60자, 중복 불가(지역+주소 기준 유사도 체크)",,409,클라이언트+서버,유사도 0.9 이상 경고
시설관리(관리자),시설 추가,region,"필수, 코드값",,400,클라이언트+서버,
시설관리(관리자),시설 추가,address,"필수, 5~120자, 도로명 권장, 지오코딩 성공",,"400,422",클라이언트+서버,좌표 변환 실패 시 재입력
시설관리(관리자),시설 추가,sports[],"필수, 1~10개",,400,클라이언트+서버,
시설관리(관리자),시설 추가,voucherEligible,필수(boolean),,400,클라이언트+서버,기본 false
시설관리(관리자),시설 추가,voucherProgramCode,"필수(조건부), 허용 코드",voucherEligible=true,"400,422",클라이언트+서버,승인제
시설관리(관리자),시설 추가,voucherProof,"필수(조건부), pdf/jpg/png ≤ 5MB",voucherEligible=true,"413,415",클라이언트+서버,감사 로그 첨부
시설관리(관리자),시설 추가,facilityGrade,"선택, {전문, 생활체육, 기타}",,400,클라이언트+서버,코드 관리에서만 변경
시설관리(관리자),시설 추가,coachGrades[],"선택, {전문2급,…}",,400,클라이언트+서버,
시설관리(관리자),시설 수정,operatingHours,"선택, 요일별 HH:mm~HH:mm, 휴무일 허용",,400,클라이언트+서버,
시설관리(관리자),시설 삭제,deleteType,"필수, {SOFT,HARD}, 종속 데이터 검사",,409,클라이언트+서버,예약/후기 존재 시 SOFT만 허용
